Model,SeqLen (T),# GPUs,GPU,MFU,HFU,MicroBatchSize,GradAccum,GlobalBatchSize,Throughput (S/s),Throughput (T/s),Throughput (T/s/GPU),GlobalBatchSize (T),Precision,MP Mode,Sharding Strategy,Activation Checkpointing,Activation CPUOffload,NumParams,Image
13b,32768,8,h100_80gb,31.68,42.24,1,3,24,0,15812,1976,786432,amp_bf16,DEFAULT,FULL_SHARD,True,False,13011240960,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,32768,8,a100_80gb,51.69,68.92,1,3,24,0,8134,1016,786432,amp_bf16,DEFAULT,FULL_SHARD,True,False,13011240960,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,16384,8,h100_80gb,35.55,47.4,3,3,72,1,23881,2985,1179648,amp_bf16,DEFAULT,FULL_SHARD,True,False,12927354880,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,16384,8,a100_80gb,54.07,72.1,3,3,72,0,11454,1431,1179648,amp_bf16,DEFAULT,FULL_SHARD,True,False,12927354880,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,8192,8,a100_80gb,56.07,74.76,5,3,120,1,14362,1795,983040,amp_bf16,DEFAULT,FULL_SHARD,True,False,12885411840,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,4096,8,h100_80gb,41.6,55.47,10,3,240,9,37740,4717,983040,amp_bf16,DEFAULT,FULL_SHARD,True,False,12864440320,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,4096,8,a100_80gb,57.62,76.82,10,3,240,4,16482,2060,983040,amp_bf16,DEFAULT,FULL_SHARD,True,False,12864440320,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,2048,64,h100_80gb,39.86,39.86,2,1,128,150,307209,4800,262144,amp_bf16,DEFAULT,FULL_SHARD,False,False,12853954560,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,2048,32,h100_80gb,39.95,39.95,2,1,64,75,153960,4811,131072,amp_bf16,DEFAULT,FULL_SHARD,False,False,12853954560,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,2048,16,h100_80gb,39.58,39.58,2,1,32,37,76280,4767,65536,amp_bf16,DEFAULT,FULL_SHARD,False,False,12853954560,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,2048,8,a100_80gb,59.57,59.57,2,3,48,8,18097,2262,98304,amp_bf16,DEFAULT,FULL_SHARD,False,False,12853954560,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,2048,8,h100_80gb,39.79,39.79,2,1,16,18,38336,4792,32768,amp_bf16,DEFAULT,FULL_SHARD,False,False,12853954560,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,1024,8,h100_80gb,44.27,59.03,40,3,960,42,44019,5502,983040,amp_bf16,DEFAULT,FULL_SHARD,True,False,12848711680,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
13b,1024,8,a100_80gb,59.48,79.3,40,3,960,18,18647,2330,983040,amp_bf16,DEFAULT,FULL_SHARD,True,False,12848711680,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,65536,8,h100_80gb,28.59,38.13,1,2,16,0,15654,1956,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6918905856,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,65536,8,a100_80gb,46.97,62.63,1,2,16,0,8108,1013,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6918905856,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,32768,8,h100_80gb,30.94,41.25,2,2,32,0,26550,3318,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6784688128,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,32768,8,a100_80gb,49.46,65.94,2,2,32,0,13382,1672,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6784688128,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,16384,8,a100_80gb,51.96,69.28,4,2,64,1,19629,2453,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6717579264,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,8192,8,h100_80gb,37.14,49.52,8,2,128,6,55481,6935,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6684024832,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,8192,8,a100_80gb,54.47,72.62,8,2,128,3,25655,3206,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6684024832,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,4096,8,h100_80gb,40.42,53.9,16,2,256,16,68893,8611,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6667247616,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,4096,8,a100_80gb,54.84,73.12,16,2,256,7,29472,3684,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6667247616,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,2048,8,a100_80gb,64.23,64.23,6,2,96,18,37130,4641,196608,amp_bf16,DEFAULT,FULL_SHARD,False,False,6658859008,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,2048,8,h100_80gb,46.44,46.44,6,1,48,41,85144,10643,98304,amp_bf16,DEFAULT,FULL_SHARD,False,False,6658859008,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,1024,8,h100_80gb,42.83,57.11,64,2,1024,79,81628,10203,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6654664704,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
7b,1024,8,a100_80gb,58.01,77.35,64,2,1024,34,34857,4357,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,6654664704,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,65536,8,h100_80gb,26.81,35.74,1,2,16,0,26099,3262,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,2814366720,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,65536,8,a100_80gb,46.05,61.41,1,2,16,0,14137,1767,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,2814366720,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,32768,8,h100_80gb,28.84,38.46,3,6,144,1,46984,5873,4718592,amp_bf16,DEFAULT,FULL_SHARD,True,False,2730480640,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,32768,8,a100_80gb,47.18,62.91,3,6,144,0,24235,3029,4718592,amp_bf16,DEFAULT,FULL_SHARD,True,False,2730480640,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,16384,8,h100_80gb,36.34,36.34,1,6,48,5,89223,11152,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,2688537600,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,16384,8,a100_80gb,57.13,57.13,1,6,48,2,44233,5529,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,2688537600,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,8192,8,h100_80gb,40.31,40.31,3,6,144,16,132626,16578,1179648,amp_bf16,DEFAULT,FULL_SHARD,False,False,2667566080,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,8192,8,a100_80gb,59.34,59.34,3,6,144,7,61567,7695,1179648,amp_bf16,DEFAULT,FULL_SHARD,False,False,2667566080,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,4096,8,h100_80gb,42.31,42.31,5,6,240,40,167712,20964,983040,amp_bf16,DEFAULT,FULL_SHARD,False,False,2657080320,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,4096,8,a100_80gb,60.53,60.53,5,6,240,18,75658,9457,983040,amp_bf16,DEFAULT,FULL_SHARD,False,False,2657080320,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,2048,64,h100_80gb,40.8,40.8,6,3,1152,703,1441663,22525,2359296,amp_bf16,DEFAULT,FULL_SHARD,False,False,2651837440,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,2048,32,h100_80gb,41.7,41.7,6,3,576,359,736701,23021,1179648,amp_bf16,DEFAULT,FULL_SHARD,False,False,2651837440,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,2048,16,h100_80gb,43.73,43.73,10,3,480,188,386285,24142,983040,amp_bf16,DEFAULT,FULL_SHARD,False,False,2651837440,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,2048,8,a100_80gb,62.11,62.11,10,2,160,42,86491,10811,327680,amp_bf16,DEFAULT,FULL_SHARD,False,False,2651837440,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,1024,8,h100_80gb,46.2,46.2,20,6,960,211,216369,27046,983040,amp_bf16,DEFAULT,FULL_SHARD,False,False,2649216000,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,1024,8,a100_80gb,62.73,62.73,20,6,960,90,92643,11580,983040,amp_bf16,DEFAULT,FULL_SHARD,False,False,2649216000,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,512,8,h100_80gb,46.32,46.32,40,6,1920,436,223721,27965,983040,amp_bf16,DEFAULT,FULL_SHARD,False,False,2647905280,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
3b,512,8,a100_80gb,63.71,63.71,40,6,1920,189,97019,12127,983040,amp_bf16,DEFAULT,FULL_SHARD,False,False,2647905280,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,65536,8,h100_80gb,26.34,35.12,1,2,16,0,44050,5506,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,1445974016,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,65536,8,a100_80gb,46.18,61.57,1,2,16,0,24353,3044,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,1445974016,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,32768,8,h100_80gb,33.54,33.54,1,4,32,2,96203,12025,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,1378865152,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,32768,8,a100_80gb,55.52,55.52,1,4,32,1,50207,6275,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,1378865152,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,16384,8,h100_80gb,35.22,35.22,2,4,64,9,157194,19649,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,1345310720,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,16384,8,a100_80gb,56.6,56.6,2,4,64,4,79650,9956,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,1345310720,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,8192,8,h100_80gb,37.73,37.73,3,4,96,28,233256,29157,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,1328533504,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,8192,8,a100_80gb,56.69,56.69,3,4,96,13,110516,13814,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,1328533504,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,4096,8,h100_80gb,40.26,40.26,7,4,224,75,308282,38535,917504,amp_bf16,DEFAULT,FULL_SHARD,False,False,1320144896,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,4096,8,a100_80gb,59.0,59.0,7,4,224,34,142457,17807,917504,amp_bf16,DEFAULT,FULL_SHARD,False,False,1320144896,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,2048,64,h100_80gb,40.85,40.85,20,1,1280,1387,2841754,44402,2621440,amp_bf16,DEFAULT,FULL_SHARD,False,False,1315950592,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,2048,32,h100_80gb,41.52,41.52,20,1,640,705,1444183,45130,1310720,amp_bf16,DEFAULT,FULL_SHARD,False,False,1315950592,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,2048,16,h100_80gb,42.36,42.36,20,1,320,359,736596,46037,655360,amp_bf16,DEFAULT,FULL_SHARD,False,False,1315950592,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,2048,8,a100_80gb,59.86,59.86,14,4,448,80,164109,20513,917504,amp_bf16,DEFAULT,FULL_SHARD,False,False,1315950592,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,2048,8,h100_80gb,41.82,41.82,14,1,112,177,363645,45455,229376,amp_bf16,DEFAULT,FULL_SHARD,False,False,1315950592,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,1024,8,h100_80gb,41.95,41.95,18,4,576,382,391287,48910,589824,amp_bf16,DEFAULT,FULL_SHARD,False,False,1313853440,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,1024,8,a100_80gb,60.15,60.15,18,4,576,172,176898,22112,589824,amp_bf16,DEFAULT,FULL_SHARD,False,False,1313853440,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,512,8,h100_80gb,43.21,43.21,56,4,1792,816,418201,52275,917504,amp_bf16,DEFAULT,FULL_SHARD,False,False,1312804864,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
1b,512,8,a100_80gb,60.68,60.68,56,4,1792,361,185186,23148,917504,amp_bf16,DEFAULT,FULL_SHARD,False,False,1312804864,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,65536,8,a100_80gb,45.34,60.45,1,2,16,0,33150,4143,1048576,amp_bf16,DEFAULT,FULL_SHARD,True,False,857988096,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,32768,8,h100_80gb,31.84,31.84,1,2,16,3,130333,16291,524288,amp_bf16,DEFAULT,FULL_SHARD,False,False,807656448,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,32768,8,a100_80gb,54.57,54.57,1,2,16,2,70417,8802,524288,amp_bf16,DEFAULT,FULL_SHARD,False,False,807656448,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,16384,8,h100_80gb,33.57,33.57,3,2,48,13,222521,27815,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,782490624,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,16384,8,a100_80gb,54.64,54.64,3,2,48,6,114198,14274,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,782490624,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,8192,8,h100_80gb,34.84,34.84,6,2,96,40,334602,41825,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,769907712,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,8192,8,a100_80gb,55.31,55.31,6,2,96,20,167471,20933,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,769907712,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,4096,8,h100_80gb,35.83,35.83,12,2,192,108,443674,55459,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,763616256,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,4096,8,a100_80gb,56.05,56.05,12,2,192,53,218808,27351,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,763616256,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,2048,32,h100_80gb,37.57,37.57,24,1,768,1062,2175091,67971,1572864,amp_bf16,DEFAULT,FULL_SHARD,False,False,760470528,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,2048,16,h100_80gb,37.89,37.89,24,1,384,535,1096819,68551,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,760470528,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,2048,8,h100_80gb,34.9,34.9,24,2,384,246,505177,63147,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,760470528,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,2048,8,a100_80gb,56.85,56.85,24,2,384,126,259472,32434,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,760470528,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,1024,8,h100_80gb,39.76,39.76,48,2,768,613,628648,78581,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,758897664,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,1024,8,a100_80gb,47.76,47.76,48,2,768,232,238122,29765,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,758897664,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,512,8,h100_80gb,40.42,40.42,96,2,1536,1308,669998,83749,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,758111232,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
760m,512,8,a100_80gb,45.07,45.07,96,2,1536,460,235571,29446,786432,amp_bf16,DEFAULT,FULL_SHARD,False,False,758111232,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,65536,8,h100_80gb,28.56,28.56,1,2,16,1,103458,12932,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,420997120,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,65536,8,a100_80gb,52.7,52.7,1,2,16,0,60195,7524,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,420997120,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,32768,8,h100_80gb,28.89,28.89,2,2,32,5,190745,23843,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,387442688,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,32768,8,a100_80gb,52.46,52.46,2,2,32,3,109222,13652,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,387442688,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,16384,8,h100_80gb,30.36,30.36,4,2,64,20,340610,42576,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,370665472,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,16384,8,a100_80gb,53.28,53.28,4,2,64,11,188478,23559,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,370665472,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,8192,8,h100_80gb,31.78,31.78,8,2,128,66,548110,68513,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,362276864,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,8192,8,a100_80gb,53.8,53.8,8,2,128,35,292559,36569,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,362276864,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,4096,8,a100_80gb,53.31,53.31,16,2,256,96,396442,49555,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,358082560,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,2048,32,h100_80gb,32.5,32.5,32,1,1024,1833,3755965,117373,2097152,amp_bf16,DEFAULT,FULL_SHARD,False,False,355985408,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,2048,16,h100_80gb,33.04,33.04,32,1,512,932,1909430,119339,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,355985408,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,2048,8,h100_80gb,33.99,33.99,32,2,512,479,982082,122760,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,355985408,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,2048,8,a100_80gb,51.78,51.78,32,2,512,230,471744,58968,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,355985408,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,2048,8,a100_80gb,51.62,51.62,32,2,512,229,470263,58782,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,355985408,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,1024,8,h100_80gb,34.8,34.8,64,2,1024,1106,1132789,141598,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,354936832,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,1024,8,a100_80gb,50.51,50.51,64,2,1024,506,518504,64813,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,354936832,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
350m,512,8,a100_80gb,50.61,50.61,128,2,2048,1083,554643,69330,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,354412544,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,65536,8,h100_80gb,27.9,27.9,1,2,16,4,266378,33297,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,174070272,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,65536,8,a100_80gb,54.13,54.13,1,2,16,2,162946,20368,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,174070272,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,32768,8,h100_80gb,27.53,27.53,2,2,32,14,482399,60299,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,148904448,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,32768,8,a100_80gb,52.71,52.71,2,2,32,8,291256,36407,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,148904448,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,16384,8,h100_80gb,27.62,27.62,4,2,64,50,831475,103934,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,136321536,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,16384,8,a100_80gb,50.61,50.61,4,2,64,29,480322,60040,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,136321536,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,8192,8,a100_80gb,48.85,48.85,8,2,128,88,723142,90392,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,130030080,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,4096,8,h100_80gb,26.99,26.99,16,2,256,429,1759588,219948,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,126884352,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
